#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
75825;"[int] Ошибка PostgreSQL [42P01] при добавлении ""сборочного материала""";ADP;Констр. объекты;regressive;1,3
78270;"Входной фильтр в задаче ""Обновление цен в документах""";ASA;Складской учет;;
77865;Редактирование Справочника предприятий;ASA;Базовые справочники;;
77811;[int] PostgreSQL: Ошибка PostgreSQL [42601] - при открытии состава КВ;ASA;Складской учет;;
78336;Очистка склада;AVS;Складской учет;;
78268;Импорт остатков запчастей;AVS;Складской учет;;
78238;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при отмене утверждения требования с составом;AVS;Складской учет;;
78228;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при отмене продвижения ВЗН СУ с составом;AVS;Складской учет;;
78187;[int] Ошибка удаления АУНП с содержимым;AVS;Учет в производстве;;
76391;Ошибка формирования доп.лимитов;AVS;Складской учет;;
74927;[int] PostgreSQL: не удается назначить рабочее место на КВ;AVS;Складской учет;;
78329;При отмене инициатором утверждения в socRevisions.LoadSocRevisionsByFilter не приходят данные об утверждающих;BEA;FOP/FOS;;
78028;briefcase.GetBriefcaseOKTP возвращает задвоенные записи после отмены и повторной отправки на согласование ;BEA;FOP/FOS;;
78404;[int] PostgreSQL: Ошибка PostgreSQL [42601] - при закрытии операции МЛ с созданием АПМ на вспомогательные материалы;CHIG;Учет в производстве;;
78372;Не сохраняются настройки План-заданий;CHIG;Планирование заводское;;
78156;Ошибка при обновлении машины в ЗЧМ;CHIG;FOP/FOS;;
78148;Ошибка при обновлении ОЭ в КСО ЗЛ/ЗЧМ;CHIG;FOP/FOS;;
77895;При трансфере в другую бригаду вставляются активности из передающегося КСО А/П предыдущей ревизии;CHIG;FOP/FOS;;
76011;[int] PostgreSQL: Ошибка PostgreSQL [0A000] - при генерации МЛ;CHIG;Учет в производстве;;
78476;Не удается вручную изменить порядок операций ТП;DMY;Техпроцессы;;
78383;Задвоение времени исполнителя;DMY;Техпроцессы;;
78206;[int] Не подбирается норма расхода мат-ла по ТП в сводной потребности мат;DMY;Мат. нормативы;;
78143;Падение приложения при копировании маршрута через ВТМ документ (только у заказчика!);DMY;Маршруты;;
78109;Ошибки при работе с исполнителями в ТП;DMY;Техпроцессы;;
78105;Ошибка обновления списка ТП;DMY;Техпроцессы;;
78097;[int] Ошибка подбора аннул. неактивного ТП в расчеты при наличии открытой карты разрешения;DMY;Техпроцессы;;
78022;Добавление операции в технологический процесс;DMY;Техпроцессы;;
77947;[int] Не устанавливается активность материала-сплава;DMY;Металлург. пр-во;;
77940;[int] Ошибка формирования блока Было/Стало для операции Выпустить в ИИМН;DMY;Мат. нормативы;;
77938;После перетаскивания детали в тп пропадают детали из вкладки зависимость;DMY;Техпроцессы;;
77814;Ошибка маркировки изделий без маршрута в содержимом комплекта изделий для элементов с иерархией в колонке +/-;DMY;Маршруты;;
77800;Создание объекта Норма времени ТП при добавлении операции;DMY;Техпроцессы;;
77477;Дублирование маршрутов;DMY;Маршруты;;
78159;[int] Сломался функционал создания ревизии КСО А/П и обновление ОЭ;GIY;FOP/FOS;;
